346929738756520, 180308062329517, 348158644025623 @ 6, -5, -22
254810664927620, 353739895010289, 244141919277765 @ -144, 403, -76
295870756794909, 404627177923603, 198720163538165 @ -23, -185, 145
245963903877515, 463230951802017, 204063276689103 @ -175, -493, 282
240883930774627, 293767063383987, 385416738115181 @ 85, 41, -232
258783790598300, 416085987737022, 244244689804488 @ -106, -108, -37
316881219411455, 207115465839939, 3231271691721 @ 36, -33, 311
159692118609179, 278631004484055, 273317916049077 @ 194, -83, 45
372719112455483, 164426621521265, 78323731342860 @ -55, 75, 273
288690854255051, 303366864842388, 441853886465373 @ 45, -90, -168
231474036233045, 203197598170947, 325158536216283 @ 116, 10, -16
307983644394617, 107725860376215, 326740994553027 @ -16, 288, -72
347506682121503, 194283076183827, 291055039661129 @ -10, 11, 25
291356463389145, 224489891532087, 277427773123203 @ 27, 50, 21
271941427915733, 503433763356759, 213162447327457 @ -121, -547, 136
242916393274521, 370793247991631, 228014536745307 @ -45, 247, 48
195691614411751, 344202548829805, 373444276238427 @ 168, -98, -150
448108397653615, 342984318211037, 372702655692203 @ -171, -129, -98
271056836136539, 405347750286045, 246867310344900 @ 53, -205, 63
274231496615407, 283191180514355, 255949392007171 @ 30, 27, 38
268173892092665, 387613124026942, 256019132096528 @ -157, 54, -103
145730094834998, 142101281327937, 172439903235819 @ 288, 391, 206
305847991862255, 276335347676657, 503944348756392 @ 41, -89, -189
265457297226648, 144055141922672, 446464604425555 @ 54, 226, -266
443126534652569, 178726379965761, 343056914693889 @ -157, 78, -55
317507350884249, 298357353125303, 316323674823843 @ -71, 33, -93
317102853816209, 234699930026565, 480571101005673 @ 15, -16, -203
283815679400309, 265670286941517, 179687664955092 @ 23, 31, 169
354277266977008, 90413312230484, 298759791596563 @ -8, 100, 22
188130119114625, 305334499796621, 197145830115250 @ 171, -77, 133
217619375871548, 283307600493768, 172874363222667 @ 134, 622, 366
327036301988501, 284507486595513, 301783526443797 @ -55, 10, -37
291294719486768, 281439705434034, 111406071781614 @ -28, 90, 339
393431484027881, 192044228859519, 311300408945955 @ -85, 49, -10
327212822886707, 176259962509678, 417753026665839 @ 5, 48, -126
253019932261409, 87556034477403, 425707031938091 @ 95, 107, -110
343802345556755, 200045103898485, 358872039028185 @ -124, 232, -179
226423296932161, 287474657895527, 236227429420451 @ 108, 171, 58
423624248192453, 222403770309101, 230490512494973 @ -73, -41, 92
259972516151316, 417326315176952, 297367106203031 @ -132, -104, -382
357044388564161, 168284250644379, 392663023445865 @ -73, 143, -151
286242181450641, 310282933434825, 298355297631705 @ -21, 35, -72
253948061505860, 369630604078812, 239455106291328 @ -10, 26, 27
239247112781688, 473045134379203, 264130376870531 @ -116, -623, -410
266954546929617, 409841545933499, 190223858265703 @ -71, -126, 227
294916260345622, 222459326307321, 289284460090659 @ 24, 47, 6
219407383690143, 427730064131051, 234951115565415 @ 114, -65, -96
301401145552568, 36984984825456, 197971574438235 @ 42, 174, 126
319901756793401, 364249214426947, 483252487665531 @ -13, -149, -270
280122340920530, 338555287223541, 253750371602817 @ -14, -17, 24
