14795,8922,92212
50004,82783,25843
4780,50515,85431
65553,94700,9802
92528,65328,93603
19614,65233,3519
24392,39627,72486
52536,1925,22221
16651,82032,30107
51702,81923,97479
57979,48034,32366
79422,8199,13034
12897,16569,17998
65550,1755,65811
78666,8210,39385
89933,38742,42777
12590,11459,57276
43908,7447,22636
86419,66155,96550
27429,1623,89589
89680,83459,28125
62325,29202,8768
74420,19969,37149
20007,37631,12653
37722,52054,98240
49224,62377,52100
48576,38772,53013
48949,72532,24335
78197,26817,5034
28930,66726,15315
85927,75490,98905
77947,91939,69543
18290,1460,84703
5218,82585,70282
76018,44118,42197
43279,51710,34686
56441,24856,51589
62587,51635,56300
9144,15595,20574
15099,65065,88096
20929,45092,83293
59111,69913,95856
86956,35422,56355
98990,59664,29504
8830,77305,10826
25438,12532,71798
12891,99474,58487
84028,84930,93446
19913,97859,17405
66583,73075,45863
24182,65676,37821
79853,32031,85749
87826,51601,7551
37890,37026,94661
4527,81527,19058
59219,39210,12790
46026,2846,60544
65617,24489,97050
40478,78798,66012
14533,25544,69
10692,9130,44003
41787,70907,59942
77938,14657,43762
94958,81667,53450
60935,36303,47037
8144,79177,68991
93319,15297,30833
54576,50358,37403
77277,18394,34723
75583,47144,89189
11414,25885,11941
68964,30001,78035
2924,41891,11331
3418,11733,78582
96368,65830,32783
66869,5445,23060
95215,65140,67109
92056,26322,68452
79516,87524,75039
41645,52490,38758
73846,74964,29267
57631,9098,75027
7744,672,14672
12756,21642,8337
71240,7146,22219
46887,35354,52940
36561,44041,98901
76610,4493,33925
82892,80026,93843
84224,50511,58231
14479,7096,16233
36446,41605,82891
71638,93267,85456
93517,18312,29846
19610,50858,25580
18132,86489,59790
30479,51101,13906
8640,91459,11783
98822,80077,51246
40109,87525,9470
70890,72771,18637
36240,62178,53755
6113,36965,72875
5755,52913,50651
5108,35832,77036
99981,65843,44267
45199,34459,36961
62221,85920,18434
95597,61627,53693
19326,31104,36328
45411,18126,68435
25082,5362,29032
77473,39519,67657
30118,89806,29651
66658,38859,57626
99257,34130,20709
30627,7589,3977
65273,35445,23620
64266,61788,65706
46996,55079,26209
9383,65083,77887
88159,91775,68817
96529,13104,17922
18730,5383,78348
86160,5325,71551
19863,76383,30432
24418,38496,11443
95154,37753,81048
50249,89118,92202
65122,6260,60056
4793,81844,37822
3887,98341,11855
27926,56748,58352
15731,43390,21500
84866,87664,28646
3606,8652,82299
70956,22722,67247
69727,53830,66397
59285,37271,58139
46997,43032,22702
48411,49865,65279
29545,64,34096
93193,78037,45003
82685,38062,85958
83822,38699,65365
41882,86408,2178
59414,33473,65532
69224,77856,68203
4178,42117,86503
80608,74064,25822
98637,54940,34804
2087,65734,15204
18189,64035,34506
95324,5638,30043
24426,13984,7190
90493,12136,43938
63687,81114,76228
873,68924,4839
45026,37641,52238
25112,58689,35674
63845,38182,58091
45219,62580,62844
19548,62446,48702
2512,85178,6385
1105,77041,82084
97817,39413,57769
63828,60712,15671
87557,49275,93455
59032,23724,26312
60194,19354,2454
51481,64069,33809
12306,26336,5226
34588,56717,3083
32541,17974,32717
46719,43210,56142
8551,9725,7195
86220,26442,4966
21378,97564,19530
59719,72691,31762
22149,10851,90991
42386,79399,40706
45681,47386,61568
32958,18799,68798
48881,45779,19082
47129,36526,99584
73415,54480,84574
72075,94764,6973
94665,93499,19251
96855,78894,69223
83380,64392,16734
99747,68676,3337
94949,65045,32251
18652,41896,31024
14298,15926,1381
81580,27438,16399
19180,86111,87540
35074,15377,55736
4539,90429,92930
93439,67174,98781
43452,95797,94229
43398,88077,54040
91985,54690,69041
37521,23210,32828
47055,26008,15487
35245,73551,11696
88959,18918,84363
86018,77377,9038
93245,98824,27608
82480,67045,62563
56399,35005,8180
25968,98197,6730
99785,60241,12318
90442,31386,55816
13772,43733,91836
84785,20927,78615
16575,28690,59961
53976,9670,34486
55304,47279,30901
44467,55124,15819
74014,45211,68995
65486,45610,13283
22609,50537,42875
63459,92341,12844
81942,61417,65306
98187,33123,74716
61894,32712,12183
51894,55462,9724
72461,32821,64647
88842,56542,68101
78547,91575,40812
20145,93770,43562
35350,13137,99023
50356,55583,18099
80597,44837,33039
97593,47960,37373
78855,82798,88805
69450,5491,24153
67695,85332,76117
1687,31043,19954
15534,28620,87154
62902,36030,53497
95706,14231,12741
3936,42885,46741
68558,6135,52136
38208,83129,16197
5557,25142,34888
64900,36166,54625
81985,19895,19384
2609,26671,26928
4829,73761,28736
93335,12826,70511
4437,6796,88913
95635,86660,44577
92923,45356,25443
72969,65153,27430
72190,83289,92760
53279,39730,75074
16025,64744,38641
14535,1779,57051
9837,47957,44446
793,57470,86771
72082,80164,14410
50062,63095,93751
76464,18266,60331
81514,28853,30866
83653,79213,68759
37181,24949,89955
62066,99181,65197
47466,58379,18437
38733,90851,60103
25132,13291,55399
72117,68271,29990
13535,278,18068
12657,37701,99172
61735,79957,16127
87765,38621,23849
57649,7752,36857
23195,69544,77847
23488,52780,87937
10496,80208,31306
82956,81133,45441
3542,13777,32517
25503,43206,24592
23733,89167,86325
17726,94382,34133
96839,20233,65744
45121,34777,45019
82059,12605,45071
95397,53786,61135
35329,45928,80917
36001,31951,64067
46268,7327,34741
92586,96750,88864
64604,56720,3749
3608,71564,71677
73186,5325,40735
23515,80921,31127
72178,61542,41889
88812,82052,44666
91669,99077,62759
12520,9647,18376
79871,29360,44099
66468,74777,62677
94751,3390,80757
86994,58577,24879
63514,37634,73976
31365,27243,10114
88543,32637,16623
2788,91027,64603
21528,17080,61230
53477,2892,59008
7509,80583,98483
64348,43390,93459
148,98740,48254
18282,78411,53159
15787,48771,45613
68483,4299,88013
19659,23514,9402
74014,72068,15705
8802,25926,6585
49506,16197,55662
28823,33536,93930
25937,89281,24388
37744,28622,37722
54958,70004,61696
38054,51188,76175
5151,1382,89694
42115,19048,87877
35287,3601,94873
63289,41647,94008
95529,25870,9017
68555,82238,17621
92493,24180,87579
18278,5184,10980
93464,80333,87897
14919,78416,82565
36365,60876,28891
62535,16840,51514
59980,84876,29870
90030,58605,32125
31661,85810,70840
83519,14470,71011
79332,10350,16686
56054,8634,45021
54314,73199,8769
26196,76687,33206
80414,30939,77871
91675,49936,43422
82905,62882,87152
90770,55340,61547
92538,82572,84030
11573,99710,99180
36619,57650,30977
83427,62260,6026
72750,44195,73778
