departure location: 33-430 or 456-967
departure station: 42-864 or 875-957
departure platform: 42-805 or 821-968
departure track: 34-74 or 93-967
departure date: 40-399 or 417-955
departure time: 30-774 or 797-950
arrival location: 50-487 or 507-954
arrival station: 34-693 or 718-956
arrival platform: 42-729 or 751-959
arrival track: 28-340 or 349-968
class: 49-524 or 543-951
duration: 40-372 or 397-951
price: 48-922 or 939-951
route: 33-642 or 666-960
row: 39-238 or 255-973
seat: 48-148 or 161-973
train: 50-604 or 630-971
type: 29-299 or 316-952
wagon: 45-898 or 921-966
zone: 34-188 or 212-959

your ticket:
137,173,167,139,73,67,61,179,103,113,163,71,97,101,109,59,131,127,107,53

nearby tickets:
122,945,480,667,824,475,800,224,297,602,673,513,641,524,835,981,54,184,60,721
692,125,595,331,803,765,721,249,729,162,226,523,821,137,297,588,296,299,720,318
851,112,324,163,805,544,563,372,590,228,264,590,290,491,799,677,881,573,584,476
318,471,224,717,144,113,521,320,280,234,522,833,515,514,543,630,128,221,279,65
466,234,233,845,296,757,675,841,113,135,464,732,220,575,769,693,231,187,548,756
179,471,485,215,287,334,848,153,546,473,238,675,487,56,595,484,279,366,692,858
532,422,215,370,552,577,171,757,58,686,169,830,849,52,422,128,218,630,424,419
113,466,896,241,98,552,339,561,55,564,279,757,514,825,124,842,464,668,222,358
547,888,333,370,221,20,834,100,555,339,721,860,557,477,430,635,230,467,290,840
599,166,826,588,831,129,188,669,74,820,640,876,669,825,231,163,280,282,64,474
514,565,628,543,603,801,231,483,363,371,278,564,398,720,556,473,358,673,148,757
723,881,767,799,351,674,876,695,477,124,677,267,265,565,425,462,272,284,769,266
921,573,359,52,270,641,760,895,839,352,998,293,229,116,579,181,551,567,238,726
986,255,256,123,278,598,804,270,517,774,515,632,232,220,639,329,171,465,517,846
763,596,876,799,214,229,238,96,756,771,516,543,553,354,731,185,295,518,586,135
840,137,108,516,146,523,63,22,481,74,462,472,759,474,123,329,834,825,187,262
107,252,603,161,596,824,168,371,581,674,98,290,722,521,113,456,363,136,317,356
559,68,116,319,666,358,513,70,54,565,61,173,822,838,851,726,213,271,866,161
921,892,120,833,370,216,552,275,317,331,539,231,584,183,593,821,60,161,768,284
666,352,219,890,517,939,423,92,862,179,552,828,163,668,71,463,231,138,476,98
118,642,252,480,719,845,366,106,477,337,144,844,54,511,292,372,636,338,565,474
74,420,487,832,769,922,454,358,670,832,583,349,722,338,113,171,876,148,104,604
126,118,630,119,864,858,260,183,213,762,689,515,334,862,640,3,463,635,940,487
333,233,271,323,371,722,817,234,257,281,422,399,98,821,182,882,161,797,641,327
717,364,887,179,578,325,522,683,580,99,178,134,219,106,724,688,827,892,596,520
486,224,570,876,352,677,677,637,127,63,232,459,359,548,668,996,762,462,516,633
235,105,725,922,571,179,632,176,821,884,597,65,54,693,676,23,524,765,64,683
296,464,398,464,163,577,567,856,840,634,474,519,675,685,255,435,673,277,721,258
318,261,881,99,339,590,594,803,520,764,417,335,797,399,286,716,554,594,515,122
462,565,762,668,284,469,550,723,333,836,422,334,114,690,424,533,230,774,182,571
861,228,321,476,129,332,351,474,996,642,848,551,261,831,126,287,288,323,753,264
131,328,270,164,857,54,543,462,365,237,364,592,755,334,832,861,736,238,295,108
601,275,424,237,188,856,551,216,74,223,572,876,841,572,416,889,597,543,266,892
428,339,679,457,275,471,798,319,335,821,545,72,361,273,854,641,275,535,365,576
519,603,690,54,239,174,722,365,175,826,367,581,474,262,278,99,456,329,729,421
546,942,220,640,570,473,602,261,10,514,586,512,581,569,718,275,472,474,883,850
421,634,561,238,729,487,481,172,238,728,366,465,105,761,586,141,798,719,530,805
729,137,73,295,186,141,119,100,473,407,671,797,878,427,522,184,279,232,940,137
457,215,637,118,187,991,170,275,569,942,291,769,878,761,71,285,575,826,667,763
362,319,706,476,123,474,751,148,457,946,888,65,630,179,568,480,668,585,147,862
849,889,62,366,671,356,985,684,561,939,593,827,95,470,257,798,593,883,93,164
423,457,421,514,805,318,774,111,180,756,841,596,327,572,210,547,864,276,722,487
482,721,730,762,471,546,263,569,774,350,886,763,766,266,127,457,803,255,508,320
728,831,221,464,102,557,134,96,260,845,849,944,769,858,603,480,555,841,356,455
759,363,635,328,691,824,372,766,684,761,278,104,280,17,70,548,858,369,852,831
279,98,479,724,729,474,281,321,734,102,267,860,880,326,766,331,58,843,140,187
353,672,854,358,285,558,841,789,178,264,518,922,137,331,592,639,766,892,93,288
51,213,238,804,352,760,401,100,225,350,894,765,851,165,689,62,636,725,339,269
123,112,977,297,852,823,101,264,143,859,507,169,65,328,133,221,755,270,399,774
338,766,810,359,685,634,687,94,279,584,849,366,231,480,887,365,287,640,757,67
365,19,68,358,949,284,597,461,826,187,51,51,768,586,894,841,136,604,461,52
720,834,558,298,518,474,162,278,845,771,328,212,942,220,297,259,219,645,823,939
765,121,564,852,580,557,666,921,482,175,430,488,511,886,595,761,213,363,554,216
338,681,126,580,821,68,467,401,144,524,892,801,349,128,110,846,426,319,556,550
773,532,604,65,64,271,461,292,562,97,134,173,947,598,545,102,335,233,258,669
757,364,284,57,523,877,62,803,229,318,484,7,106,56,61,518,179,559,186,61
854,469,21,370,226,124,581,889,420,515,298,563,459,522,66,631,599,563,480,508
354,139,130,146,274,94,468,94,847,633,170,895,259,218,571,162,126,717,569,118
889,74,181,860,887,229,127,841,359,724,55,256,328,324,629,553,284,127,631,72
287,74,842,99,798,522,687,205,857,823,847,60,186,425,575,486,475,683,358,166
321,584,458,770,602,851,727,349,234,599,510,234,575,635,761,579,587,280,158,106
689,767,844,113,260,263,467,674,537,64,131,268,263,217,227,139,272,943,637,168
365,279,76,577,825,281,847,258,553,73,145,846,523,176,805,136,124,517,170,895
666,424,255,601,291,719,773,640,479,792,120,586,753,182,802,458,584,291,591,107
882,824,725,135,473,215,399,602,768,322,946,1,583,583,366,338,277,878,575,268
836,63,214,183,349,337,948,510,694,336,176,839,473,275,425,686,519,54,634,590
425,949,797,639,589,218,69,729,940,719,875,102,285,167,995,351,110,398,553,260
864,101,270,256,767,551,667,692,631,473,18,831,561,840,567,173,564,514,418,140
355,753,153,862,457,671,689,756,291,298,116,168,842,297,641,349,137,339,280,264
550,322,365,226,782,721,51,514,855,545,418,143,823,372,71,562,476,232,636,372
317,123,224,299,400,424,895,131,468,276,773,575,765,880,474,467,724,115,421,687
352,879,933,100,848,681,339,292,718,894,104,51,510,67,803,860,462,329,854,596
802,631,485,552,519,115,597,359,195,583,677,220,213,291,600,943,583,128,237,548
568,603,127,727,524,320,840,281,63,104,763,639,590,327,854,51,257,5,102,676
470,635,576,805,921,144,105,545,760,519,884,418,235,226,138,596,883,806,944,426
